;Vollaard_id;weight;micro_cat;micro_num;ripeness_cat;ripeness_num;cleaning_cat;cleaning_num;temperature;temp_cat;fresh_cat;fresh_num;fat_num;fat_cat;price_per_100g;price_cat;finalscore;top10;nottop10;atlantic;within30km;year2017;original_ID;name;address
59;139;60;Zeer goed;1;Gemiddeld;2;Goed;2;7.9;2;nietvers;0;12.8;2;4.58;3;12;0;1;0;1;0;97;De Visscherie;Galerij 1 - Uden
102;219;69;Voldoende;2;Bedorven;4;Zeer goed;1;13.9;3;nietvers;0;10.1;2;2.53;1;7.5;0;1;0;0;0;143;De Viswinkel;Noordvliet Noordzijde 3 - Maassluis
83;144;62;Goed;1;Sterk;3;Matig;3;15.1;3;nietvers;0;12.3;2;3.49;3;8;0;1;0;1;1;135;De Viszaak;Traaij 6 - Driebergen
100;216;60;Zeer goed;1;Sterk;3;Matig;3;10.3;3;vers;1;8.4;1;5;3;7.5;0;1;0;1;0;136;De Zilte Zee vis en delicatessen;Kampweg 24 - Doorn
78;178;62;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.7;1;vers;1;15.8;3;3.14;2;16;0;1;0;1;0;29;Dirks Vishandel;Hoornesplein 129 - Katwijk aan Zee
96;205;61;Zeer goed;1;Gemiddeld;2;Goed;2;10.8;3;nietvers;0;14.7;3;2.86;2;14;0;1;0;1;0;72;Dries van den Berg;Burgemeester De Meesterstraat 11 - Harderwijk
5;8;73;Waarschuwingsfase;4;Bedorven;4;Matig;3;8.2;2;nietvers;0;10.7;2;1.28;1;7.5;0;1;0;0;1;143;EM-TÉ (Dordrecht);Krispijnseweg 68 - Dordrecht
18;40;62;Goed;1;Sterk;3;Goed;2;4.8;1;nietvers;0;11.5;2;1.61;1;8.5;0;1;0;1;0;131;EMTE (Den Bosch);Hofvijver 2 - s-Hertogenbosch
69;119;68;Zeer goed;1;Sterk;3;Slecht;4;7.9;2;nietvers;0;9.1;1;3.3;2;9;0;1;0;1;1;130;Enkhuizer Vishal;Tussen Twee Havens 7 - Enkhuizen
3;5;71;Slecht;3;Bedorven;4;Matig;3;18.9;3;nietvers;0;9;1;2.81;1;7.5;0;1;0;1;1;146;Erasmus Viscenter;Kaai 1 - Breskens
100;177;66;Slecht;3;Sterk;3;Goed;2;14.8;3;nietvers;0;9;1;2.65;1;8.5;0;1;0;1;1;132;Fieret’s Vishandel;Kaai 18 - Sluis
68;158;79;Goed;1;Gemiddeld;2;Zeer goed;1;6.1;1;vers;1;11.3;2;2.91;2;16.5;0;1;0;1;0;25;Fijnvishandel Santpoort aan Zee;Broekbergenlaan 44 - Santpoort
134;257;79;Zeer goed;1;Gemiddeld;2;Zeer goed;1;6.2;1;vers;1;9.6;1;3.03;2;16;0;1;0;1;1;33;Fijnvishandel Santpoort aan Zee;Broekbergenlaan 44 - Santpoort
9;17;71;Zeer goed;1;Sterk;3;Matig;3;7.8;2;vers;1;13.8;2;2.74;1;14;0;1;0;1;0;75;Fish & Chips;Markt 39 - Middelburg
44;102;77;Zeer goed;1;Sterk;3;Goed;2;4.1;1;vers;1;15.4;3;2.53;1;14.5;0;1;0;1;0;67;Fish Plaza;Gochsedijk 96 - Siebengewald
40;97;63;Zeer goed;1;Gemiddeld;2;Zeer goed;1;6.8;1;vers;1;12.1;2;3.3;2;15.5;0;1;0;0;0;48;Fizzi;Noorderkeerkring 14 - Alphen aan den Rijn
36;67;62;Zeer goed;1;Gemiddeld;2;Goed;2;6.4;1;vers;1;9.3;1;4.35;3;14;0;1;0;1;1;80;Gamba Seafood;Jansstraat 31 - Arnhem
12;29;64;Zeer goed;1;Gemiddeld;2;Zeer goed;1;5.6;1;vers;1;12.6;2;3.43;2;16.5;0;1;0;0;0;24;Grootveld Visspecialiteiten;Koningin Julianaplein 267a - Voorburg
103;220;73;Zeer goed;1;Sterk;3;Goed;2;4.7;1;nietvers;0;16.1;3;3.42;2;13;0;1;0;1;0;87;Haring Naatje;Purmerplein - Amsterdam
14;33;75;Waarschuwingsfase;4;Sterk;3;Goed;2;8.9;2;vers;1;14.5;3;3.33;2;14.5;0;1;0;1;0;63;Haringkraam Miep Hoeben;Stationsstraat / Smallepad - Bergen aan Zee
137;271;63;Goed;1;Gemiddeld;2;Matig;3;9.4;2;vers;1;7;1;2.85;2;13.5;0;1;0;0;1;84;Haringshop Eudokiaplein;Eudokiaplein - Rotterdam
23;51;56;Zeer goed;1;Gemiddeld;2;Zeer goed;1;8.3;2;vers;1;8;1;3.48;3;15.5;0;1;0;1;0;41;Heeren van de Zee;Verkoopwagen zaterdag bij winkelcentrum Rijkerswoerd - Arnhem
123;233;65;Zeer goed;1;Gemiddeld;2;Goed;2;8.6;2;vers;1;10.1;2;3.38;2;16;0;1;0;1;1;27;Het Beste Maatje;Stationsstraat 1 a - Middelburg
133;254;72;Zeer goed;1;Gemiddeld;2;Zeer goed;1;8.2;2;nietvers;0;12.7;2;3.12;2;10.5;0;1;0;1;1;118;Het Neusje van de Zalm (Heerenveen);Molenplein 12 - Heerenveen
103;189;80;Voldoende;2;Sterk;3;Zeer goed;1;16.5;3;nietvers;0;12.5;2;2.81;1;10.5;0;1;0;1;1;120;Het Neusje van de Zalm (Leeuwaarden);Verkoopwagen parkeerplaats AH Tijnjeplein - Leeuwarden
81;142;63;Zeer goed;1;Gemiddeld;2;Zeer goed;1;7.6;2;nietvers;0;8.2;1;3.57;3;15;0;1;0;1;1;51;Het Vishuis;Grotestraat 2 - Ede
99;212;75;Zeer goed;1;Sterk;3;Goed;2;12.7;3;vers;1;11.9;2;2.93;2;13.5;0;1;0;1;0;79;Het Vispaleis;Noorderveemarkt 3 - Hoorn
62;109;51;Zeer goed;1;Gemiddeld;2;Zeer goed;1;9.7;2;vers;1;9.5;1;4.6;3;15.5;0;1;0;1;1;38;Het Vispleintje;Sint Annaplein 11 - Baarle-Nassau
11;27;76;Zeer goed;1;Sterk;3;Matig;3;8.9;2;vers;1;12.8;2;2.63;1;14;0;1;0;1;0;76;Hollander's Nieuwe;Drachtsterweg 7 - Leeuwarden
76;130;85;Zeer goed;1;Gemiddeld;2;Goed;2;5.8;1;vers;1;12.4;2;2.47;1;14.5;0;1;0;1;1;68;Hopman’s Zeevishandel;Verkoopwagen dagmarkt donderdag centrum - Lopik
54;129;63;Zeer goed;1;Bedorven;4;Goed;2;8.5;2;nietvers;0;11.7;2;1.17;1;7.5;0;1;0;1;0;141;Jumbo (Hoogezand);Meint Veningastraat 26 - Hoogezand
41;98;59;Zeer goed;1;Bedorven;4;Goed;2;2.6;1;nietvers;0;11.1;2;1.93;1;7.5;0;1;0;0;0;140;Jumbo (Reeuwijk);Miereakker 18 - Reeuwijk
118;221;65;Voldoende;2;Sterk;3;Goed;2;8.6;2;nietvers;0;8.7;1;2.07;1;10;0;1;0;0;1;122;Jumbo (Spijkenisse);Hadewychplaats 32 - Spijkenisse
112;235;55;Zeer goed;1;Gemiddeld;2;Zeer goed;1;8.5;2;vers;1;9.3;1;3.45;2;13;0;1;0;0;0;85;Kapitein Jack;Thorbeckelaan/Colijnplein - Den Haag
89;192;59;Zeer goed;1;Sterk;3;Matig;3;6.1;1;vers;1;14.1;3;3.81;3;10.5;0;1;0;1;0;113;Konink Vis;Talingweg 171 - Apeldoorn
81;181;62;Zeer goed;1;Sterk;3;Matig;3;12.6;3;nietvers;0;9.3;1;3.22;2;8.5;0;1;0;0;0;128;Kraam van Kralingen;Watertorenweg - Rotterdam
109;230;67;Zeer goed;1;Gemiddeld;2;Zeer goed;1;6.6;1;vers;1;9.8;1;2.76;1;16;0;1;0;0;0;36;Langouste;Winterakker 27 - Spijkenisse
70;163;57;Goed;1;Gemiddeld;2;Zeer goed;1;1.6;1;vers;1;16.3;3;3.94;3;16.7;0;1;0;0;0;11;Lekkerkerkse Vishandel W. Verwaal;Dagmarkt vrijdag Hoofdstraat - Krimpen aan den Lek
69;160;67;Slecht;3;Sterk;3;Matig;3;4.1;1;nietvers;0;14.4;3;1.18;1;9.5;0;1;0;1;0;115;Lidl (Deurne);Vlierdenseweg 4 - Deurne
110;206;61;Afgekeurd;5;Bedorven;4;Matig;3;5.2;1;nietvers;0;9.3;1;2.04;1;7.5;0;1;0;1;1;147;Lidl (Goes);De Spinne 46 - Goes
129;264;58;Waarschuwingsfase;4;Sterk;3;Matig;3;7.1;2;vers;1;15.5;3;3.79;3;12.5;0;1;0;1;0;89;Lindsey's Visspeciaalzaak;Veldpoortstraat 12 - Wijk bij Duurstede
113;210;71;Goed;1;Gemiddeld;2;Zeer goed;1;6.9;1;vers;1;14.2;3;3.09;2;16;0;1;0;1;1;34;Lindsey’s Visspeciaalzaak;Veldpoortstraat 12 - Wijk bij Duurstede
146;289;65;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.9;1;nietvers;0;12.9;2;3.89;3;15;0;1;1;0;1;53;LKKR;Tsjaikovskistraat 1 - Rhoon
85;146;63;Zeer goed;1;Gemiddeld;2;Zeer goed;1;-1.9;1;vers;1;13.1;2;2.94;2;16.7;1;0;0;0;1;9;M.J. de Graaf Fishmasters;Verkoopwagen parkeerterrein winkelcentrum Walburg - Zwijndrecht
94;200;69;Afkeurenswaardig;5;Sterk;3;Matig;3;15.8;3;nietvers;0;15;3;3.26;2;7.5;0;1;0;0;0;135;Marcel Korlaar/Zuyderzee;Vrijdagdagmarkt Binnenhof - Barendrecht
124;259;76;Zeer goed;1;Gemiddeld;2;Matig;3;10.4;3;vers;1;9.2;1;2.61;1;11.5;0;1;0;1;0;105;Marqt;Ceintuurbaan 402 - Amsterdam
145;287;76;Goed;1;Licht;1;Zeer goed;1;4.7;1;nietvers;0;11.4;2;2.1;1;15.5;0;1;1;0;1;35;Mediterranee;Vierambachtstraat 135 - Rotterdam
55;131;67;Zeer goed;1;Gemiddeld;2;Matig;3;5.7;1;vers;1;10.8;2;2.98;2;15;0;1;0;0;0;58;Mercan's Place;Monseigneur Nolenslaan 420 - Schiedam
31;55;48;Zeer goed;1;Sterk;3;Matig;3;9.9;2;vers;1;8.3;1;3.64;3;9;0;1;0;1;1;131;Oppidium Heinen Vis;Groningerstraat 166 - Amersfoort
46;105;61;Zeer goed;1;Sterk;3;Zeer goed;1;5.1;1;nietvers;0;16.8;3;1.22;1;10.5;0;1;0;1;0;112;Plus;Botter 4431 - Lelystad
89;156;63;Zeer goed;1;Bedorven;4;Matig;3;3.8;1;nietvers;0;5.4;1;2.37;1;7.5;0;1;0;0;1;139;Plus Wensveen;Dorrestein 21 - Nieuwerkerk a/d IJssel
131;266;79;Waarschuwingsfase;4;Sterk;3;Goed;2;9.1;2;nietvers;0;6.2;1;2.34;1;11.5;0;1;0;1;0;103;Poisson & Cuisine De Molen;Meester Snijderweg 55 - Stellendam
88;154;63;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.8;1;vers;1;11.6;2;3.57;3;16.3;0;1;0;0;1;22;puurvis;Damlaan 69 a - Leidschendam
25;46;63;Goed;1;Sterk;3;Zeer goed;1;10.2;3;nietvers;0;10;2;3.33;2;12.5;0;1;0;0;1;97;Rene’s Visspeciaalzaak;Herenhof 34 - Alphen a/d Rijn
42;77;71;Zeer goed;1;Gemiddeld;2;Goed;2;8.9;2;nietvers;0;12.2;2;2.46;1;15.5;0;1;0;0;1;37;Roeleveld Vis;Visafslagweg 30 - Den Haag
120;224;87;Afgekeurd;5;Bedorven;4;Goed;2;11.1;3;nietvers;0;6.9;1;2.58;1;7.5;0;1;0;0;1;148;Ruisvis;Verkoopwagen dagmarkt vrijdag Statenplein - Dordrecht
144;290;73;Zeer goed;1;Gemiddeld;2;Zeer goed;1;1.5;1;vers;1;1.3;1;3.42;2;17;1;0;1;0;0;5;Schmidt Zeevis;Matlingeweg 333 - Rotterdam
148;292;72;Zeer goed;1;Gemiddeld;2;Zeer goed;1;1.9;1;vers;1;13.4;2;3.47;2;17;1;0;1;0;1;6;Schmidt Zeevis;Matlingeweg 333 - Rotterdam
67;155;61;Voldoende;2;Sterk;3;Zeer goed;1;14.2;3;nietvers;0;14.1;3;2.86;2;9.5;0;1;0;0;0;119;SeaZo Visspecialiteiten;Molenbrink 50 - Monster
43;78;54;Zeer goed;1;Gemiddeld;2;Goed;2;5.5;1;vers;1;14.4;3;3.61;3;15;0;1;0;1;1;55;Seven Seas Seafood;Zamenhofdreef 75 - Utrecht
21;45;69;Goed;1;Sterk;3;Goed;2;11.4;3;nietvers;0;13.4;2;3.62;3;9.5;0;1;0;1;0;118;Simonse Visspecialiteiten;Walstraat 2a - Oss
48;110;74;Zeer goed;1;Gemiddeld;2;Matig;3;5.1;1;vers;1;11.1;2;2.83;1;14.5;0;1;0;1;0;69;Smit V'dammer Vishandel Tussenmeer;Tussen Meer 67 - Amsterdam
52;123;62;Zeer goed;1;Sterk;3;Goed;2;7.9;2;nietvers;0;7.5;1;3.38;2;11.5;0;1;0;1;0;106;Spakenburgse Vishandel;De Eglantier 342 - Apeldoorn
38;88;70;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.7;1;vers;1;17.4;3;3.21;2;16.5;0;1;0;1;0;22;Spakenburgse Vishandel H.C.de Graaf;Kruisstraat 6 - Woerden
132;268;53;Goed;1;Gemiddeld;2;Matig;3;10.3;3;nietvers;0;11;2;4.15;3;9.5;0;1;0;1;0;121;Spakenburgse Vishandel Vathorst;Cruquius 98 - Amersfoort
17;28;61;Zeer goed;1;Licht;1;Zeer goed;1;5.1;1;vers;1;7.5;1;3.68;3;15.5;0;1;0;1;1;43;Spakenburgse Visspecialist Arjan Pastoor;Molenstraat 21 - Rhenen
130;265;52;Zeer goed;1;Sterk;3;Matig;3;10.8;3;nietvers;0;7.6;1;4.8;3;7.5;0;1;0;0;0;137;t Visboertje;Kraam Bergse Dorpsstraat /Argonautenweg - Rotterdam
56;132;51;Goed;1;Gemiddeld;2;Zeer goed;1;5.3;1;vers;1;14.3;3;3.82;3;15.5;0;1;0;1;0;47;Ten Have's viswinkel;Achterstraat 4 - Hattem
72;125;59;Zeer goed;1;Licht;1;Matig;3;6.8;1;vers;1;10.7;2;3.38;2;15;0;1;0;1;1;61;The Fishery;Doctor Slotemaker De Bruïneplein - Veenendaal
3;7;73;Zeer goed;1;Sterk;3;Matig;3;8;2;vers;1;13.6;2;2.73;1;13.5;0;1;0;1;0;80;The Haddock Fish & Chips;Nieuwe Oosterstraat 1e - Leeuwarden
6;9;79;Voldoende;2;Gemiddeld;2;Zeer goed;1;10.3;3;vers;1;11.2;2;3.79;3;14;0;1;0;1;1;73;Tijger & De Vis;Lindengracht 158 h - Amsterdam
54;93;75;Zeer goed;1;Sterk;3;Goed;2;4.8;1;vers;1;13;2;3.66;3;15;0;1;0;0;1;54;Toet Visspecialiteiten;Herenstraat 60 - Voorburg
79;137;73;Waarschuwingsfase;4;Gemiddeld;2;Matig;3;10.6;3;vers;1;13.3;2;2.73;1;13;0;1;0;1;1;87;Urker Vis en meer;Kleine Kerkstraat 1 - Leeuwarden
9;18;67;Zeer goed;1;Gemiddeld;2;Zeer goed;1;6.7;1;vers;1;12;2;2.98;2;16.5;0;1;0;1;1;13;Urker Vishandel Van Slooten;Slotplantsoen 3 - Meppel
80;180;70;Zeer goed;1;Sterk;3;Matig;3;11.6;3;vers;1;13.4;2;2.85;2;12;0;1;0;1;0;94;Urker Visspecialist de Snoekies;Sint Adriaanstraat 17 - Goes
135;258;82;Zeer goed;1;Gemiddeld;2;Matig;3;6.1;1;nietvers;0;10;2;2.71;1;13;0;1;0;1;1;93;Urker Visspecialiteiten Baarssen;Noorderwagenplein 10 - Lelystad
39;89;68;Zeer goed;1;Gemiddeld;2;Zeer goed;1;10.6;3;nietvers;0;16.7;3;2.57;1;12.5;0;1;0;0;0;91;Valk Versmarkt;Veurseweg 214 - Voorschoten
28;49;74;Zeer goed;1;Gemiddeld;2;Zeer goed;1;14.2;3;vers;1;12.5;2;4.05;3;12.5;0;1;0;1;1;99;Van Altena Seafood;Amstelveenseweg/hoek Kalfjeslaan - Amsterdam
26;47;68;Voldoende;2;Gemiddeld;2;Zeer goed;1;8.9;2;vers;1;10.9;2;3.23;2;14;0;1;0;1;1;72;Van Arenthals Vishandel Kees;Geert Groteplein 11 - Alkmaar
60;106;67;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.4;1;vers;1;13.9;2;2.98;2;15.5;0;1;0;0;1;41;Van den Boogaart Visspecialiteiten;Hof van Holland 24 - Zwijndrecht
110;232;66;Goed;1;Gemiddeld;2;Zeer goed;1;4.6;1;vers;1;13.3;2;3.03;2;16;0;1;0;0;0;33;Van den Boogaart Visspecialiteiten;Hof van Holland 24 - Zwijndrecht
64;112;67;Zeer goed;1;Gemiddeld;2;Zeer goed;1;9.5;2;nietvers;0;10.3;2;2.76;1;14.5;0;1;0;1;1;64;Van der Zwan Vistotaal;Kerkeveldlaan 14 - Roermond
32;69;57;Zeer goed;1;Sterk;3;Zeer goed;1;4.7;1;nietvers;0;8.6;1;3.94;3;12;0;1;0;0;0;100;Vis & traiteur Jeroen Vijverberg;Rembrandstraat 1b - Naaldwijk
15;25;56;Goed;1;Sterk;3;Slecht;4;16.4;3;vers;1;9.1;1;4.01;3;9.5;0;1;0;1;1;124;Vis & Zoer;Geldersestraat 42 - Geldermalsen
20;35;65;Voldoende;2;Gemiddeld;2;Goed;2;14.5;3;nietvers;0;9.1;1;3.46;2;11;0;1;0;1;1;113;Vis Enzo;Tongelresestraat 270 a - Eindhoven
130;250;58;Goed;1;Sterk;3;Matig;3;12.6;3;vers;1;9.2;1;3.36;2;11;0;1;0;0;1;112;Vis Expo;Nieuwstraat 22 - Middelharnis
65;113;53;Zeer goed;1;Licht;1;Zeer goed;1;12.1;3;nietvers;0;15.8;3;4.24;3;15;0;1;0;0;1;49;Vis van Klaas;Verkoopwagen Damplein - Dordrecht
99;176;61;Goed;1;Bedorven;4;Matig;3;9.2;2;nietvers;0;10.2;2;3.27;2;7.5;0;1;0;0;1;144;Vis van Lon;Dorpsstraat 101 - Zoetermeer
139;279;62;Zeer goed;1;Gemiddeld;2;Zeer goed;1;5.3;1;vers;1;13.9;2;3.62;3;16.5;0;1;1;0;0;23;Vis.;Lange Baan 34 - Nootdorp
144;284;71;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.1;1;vers;1;12.6;2;3.16;2;16.3;0;1;1;0;1;20;Vis.;Lange Baan 34 - Nootdorp
63;111;72;Zeer goed;1;Gemiddeld;2;Zeer goed;1;8.4;2;vers;1;15.4;3;2.7;1;15.5;0;1;0;1;1;36;Visamy;Bellamypark 44 - Vlissingen
86;188;56;Zeer goed;1;Gemiddeld;2;Matig;3;4.3;1;vers;1;7.1;1;3.48;3;14;0;1;0;0;0;77;Visboetiek Emous;Dirk de Derdelaan 1a - Vlaardingen
98;174;80;Zeer goed;1;Gemiddeld;2;Zeer goed;1;-2.1;1;vers;1;18.4;3;2.62;1;15.5;0;1;0;1;1;39;Viscircus Gebr. Koning;Schippergarage 23 - Almere
82;182;69;Slecht;3;Gemiddeld;2;Zeer goed;1;2.8;1;vers;1;12;2;3.04;2;15;0;1;0;1;0;49;Viscircus gebroeders Koning;Belfort 128 - Almere
37;84;57;Zeer goed;1;Gemiddeld;2;Zeer goed;1;6.8;1;vers;1;10.5;2;3.5;3;16.5;0;1;0;0;0;26;Visgilde Bieshof;Van Eesterenplein 96 - Dordrecht
142;282;75;Zeer goed;1;Gemiddeld;2;Zeer goed;1;2.7;1;vers;1;13.7;2;2.8;1;17.4;1;0;1;1;1;2;Visgilde De Zeeland;Markiezaatsweg 11 b - Bergen op Zoom
67;116;64;Zeer goed;1;Gemiddeld;2;Goed;2;3.6;1;nietvers;0;7.8;1;4.29;3;9.5;0;1;0;1;1;126;Visgilde François de Bie;Roostenlaan 67 - Eindhoven
137;276;63;Zeer goed;1;Gemiddeld;2;Zeer goed;1;4.1;1;vers;1;10.6;2;3.49;3;17;1;0;1;0;0;7;Visgilde Gebroeders De Block;Raadhuisplein 57a - Krimpen aan den IJssel
19;42;66;Zeer goed;1;Gemiddeld;2;Zeer goed;1;3.6;1;vers;1;11.9;2;3.18;2;16;0;1;0;1;0;38;Visgilde Hans Visscher;Melkmarkt 32 - Zwolle
136;267;64;Zeer goed;1;Gemiddeld;2;Zeer goed;1;5.4;1;vers;1;10.8;2;3.12;2;16.3;0;1;0;0;1;24;Visgilde John Vermaas;Mia van IJperenplein 101 - Rotterdam
84;145;64;Slecht;3;Gemiddeld;2;Zeer goed;1;6.8;1;vers;1;10.2;2;3.51;3;15.3;0;1;0;0;1;26;Visgilde Leen de Jong;Middenbaan 73 - Barendrecht
