"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2020";"Dokkum";
"Total male and female";"2021";"Dokkum";
"Total male and female";"2010";"Domburg";
"Total male and female";"2020";"Domburg";
"Total male and female";"2021";"Domburg";
"Total male and female";"2010";"Dongen";25061
"Total male and female";"2020";"Dongen";26222
"Total male and female";"2021";"Dongen";26368
"Total male and female";"2010";"Dongeradeel";24409
"Total male and female";"2020";"Dongeradeel";
"Total male and female";"2021";"Dongeradeel";
"Total male and female";"2010";"Doniawerstal";
"Total male and female";"2020";"Doniawerstal";
"Total male and female";"2021";"Doniawerstal";
"Total male and female";"2010";"Doorn";
"Total male and female";"2020";"Doorn";
"Total male and female";"2021";"Doorn";
"Total male and female";"2010";"Doornspijk";
"Total male and female";"2020";"Doornspijk";
"Total male and female";"2021";"Doornspijk";
"Total male and female";"2010";"Dordrecht";118480
"Total male and female";"2020";"Dordrecht";119284
"Total male and female";"2021";"Dordrecht";119115
"Total male and female";"2010";"Drechterland";19291
"Total male and female";"2020";"Drechterland";19719
"Total male and female";"2021";"Drechterland";19838
"Total male and female";"2010";"Dreischor";
"Total male and female";"2020";"Dreischor";
"Total male and female";"2021";"Dreischor";
"Total male and female";"2010";"Dreumel";
"Total male and female";"2020";"Dreumel";
"Total male and female";"2021";"Dreumel";
"Total male and female";"2010";"Driebergen-Rijsenburg";
"Total male and female";"2020";"Driebergen-Rijsenburg";
"Total male and female";"2021";"Driebergen-Rijsenburg";
"Total male and female";"2010";"Driebruggen";
"Total male and female";"2020";"Driebruggen";
"Total male and female";"2021";"Driebruggen";
"Total male and female";"2010";"Driel";
"Total male and female";"2020";"Driel";
"Total male and female";"2021";"Driel";
"Total male and female";"2010";"Driewegen";
"Total male and female";"2020";"Driewegen";
"Total male and female";"2021";"Driewegen";
"Total male and female";"2010";"Drimmelen";26591
"Total male and female";"2020";"Drimmelen";27272
"Total male and female";"2021";"Drimmelen";27325
"Total male and female";"2010";"Dronten";39787
"Total male and female";"2020";"Dronten";41555
"Total male and female";"2021";"Dronten";42011
"Total male and female";"2010";"Drunen";
"Total male and female";"2020";"Drunen";
"Total male and female";"2021";"Drunen";
"Total male and female";"2010";"Druten";18084
"Total male and female";"2020";"Druten";18926
"Total male and female";"2021";"Druten";18991
"Total male and female";"2010";"Dubbeldam";
"Total male and female";"2020";"Dubbeldam";
"Total male and female";"2021";"Dubbeldam";
"Total male and female";"2010";"Duiveland";
"Total male and female";"2020";"Duiveland";
"Total male and female";"2021";"Duiveland";
"Total male and female";"2010";"Duiven";25593
"Total male and female";"2020";"Duiven";25126
"Total male and female";"2021";"Duiven";25066
"Total male and female";"2010";"Duivendijke";
"Total male and female";"2020";"Duivendijke";
"Total male and female";"2021";"Duivendijke";
"Total male and female";"2010";"Den Dungen";
"Total male and female";"2020";"Den Dungen";
"Total male and female";"2021";"Den Dungen";
"Total male and female";"2010";"Dussen";
"Total male and female";"2020";"Dussen";
"Total male and female";"2021";"Dussen";
"Total male and female";"2010";"Dwingeloo";
"Total male and female";"2020";"Dwingeloo";
"Total male and female";"2021";"Dwingeloo";
"Total male and female";"2010";"Echt";
"Total male and female";"2020";"Echt";
"Total male and female";"2021";"Echt";
"Total male and female";"2010";"Echteld";
"Total male and female";"2020";"Echteld";
"Total male and female";"2021";"Echteld";
"Total male and female";"2010";"Echt-Susteren";32282
"Total male and female";"2020";"Echt-Susteren";31610
"Total male and female";"2021";"Echt-Susteren";31751
"Total male and female";"2010";"Edam";
"Total male and female";"2020";"Edam";
"Total male and female";"2021";"Edam";
"Total male and female";"2010";"Edam-Volendam";28506
"Total male and female";"2020";"Edam-Volendam";36197
"Total male and female";"2021";"Edam-Volendam";36268
"Total male and female";"2010";"Ede";107756
"Total male and female";"2020";"Ede";117165
"Total male and female";"2021";"Ede";118530
"Total male and female";"2010";"Eelde";
"Total male and female";"2020";"Eelde";
"Total male and female";"2021";"Eelde";
"Total male and female";"2010";"Eemnes";8837
"Total male and female";"2020";"Eemnes";9247
"Total male and female";"2021";"Eemnes";9362
"Total male and female";"2010";"Eemsdelta";
"Total male and female";"2020";"Eemsdelta";
"Total male and female";"2021";"Eemsdelta";45587
"Total male and female";"2010";"Eemsmond";16426
"Total male and female";"2020";"Eemsmond";
"Total male and female";"2021";"Eemsmond";
"Total male and female";"2010";"Eenrum";
"Total male and female";"2020";"Eenrum";
"Total male and female";"2021";"Eenrum";
"Total male and female";"2010";"Eersel";18157
"Total male and female";"2020";"Eersel";19313
"Total male and female";"2021";"Eersel";19528
"Total male and female";"2010";"Eethen";
"Total male and female";"2020";"Eethen";
"Total male and female";"2021";"Eethen";
"Total male and female";"2010";"Egmond";
"Total male and female";"2020";"Egmond";
"Total male and female";"2021";"Egmond";
"Total male and female";"2010";"Egmond aan Zee";
"Total male and female";"2020";"Egmond aan Zee";
"Total male and female";"2021";"Egmond aan Zee";
"Total male and female";"2010";"Egmond-Binnen";
"Total male and female";"2020";"Egmond-Binnen";
"Total male and female";"2021";"Egmond-Binnen";
"Total male and female";"2010";"Eibergen";
"Total male and female";"2020";"Eibergen";
"Total male and female";"2021";"Eibergen";
"Total male and female";"2010";"Eijgelshoven";
"Total male and female";"2020";"Eijgelshoven";
"Total male and female";"2021";"Eijgelshoven";
"Total male and female";"2010";"Eijsden";11439
"Total male and female";"2020";"Eijsden";
"Total male and female";"2021";"Eijsden";
"Total male and female";"2010";"Eijsden-Margraten";
"Total male and female";"2020";"Eijsden-Margraten";25768
"Total male and female";"2021";"Eijsden-Margraten";25900
"Total male and female";"2010";"Eindhoven";213809
"Total male and female";"2020";"Eindhoven";234394
"Total male and female";"2021";"Eindhoven";235691
"Total male and female";"2010";"Elburg";22176
"Total male and female";"2020";"Elburg";23161
"Total male and female";"2021";"Elburg";23429
"Total male and female";"2010";"Elkerzee";
"Total male and female";"2020";"Elkerzee";
"Total male and female";"2021";"Elkerzee";
"Total male and female";"2010";"Ellemeet";
"Total male and female";"2020";"Ellemeet";
"Total male and female";"2021";"Ellemeet";
"Total male and female";"2010";"Ellewoutsdijk";
"Total male and female";"2020";"Ellewoutsdijk";
"Total male and female";"2021";"Ellewoutsdijk";
"Total male and female";"2010";"Elsloo";
"Total male and female";"2020";"Elsloo";
"Total male and female";"2021";"Elsloo";
"Total male and female";"2010";"Elst";
"Total male and female";"2020";"Elst";
"Total male and female";"2021";"Elst";
"Total male and female";"2010";"Elten";
"Total male and female";"2020";"Elten";
"Total male and female";"2021";"Elten";
"Total male and female";"2010";"Emmen";109491
"Total male and female";"2020";"Emmen";107048
"Total male and female";"2021";"Emmen";107024
"Total male and female";"2010";"Empel en Meerwijk";
"Total male and female";"2020";"Empel en Meerwijk";
"Total male and female";"2021";"Empel en Meerwijk";
"Total male and female";"2010";"Engelen";
"Total male and female";"2020";"Engelen";
"Total male and female";"2021";"Engelen";
"Total male and female";"2010";"Enkhuizen";18153
"Total male and female";"2020";"Enkhuizen";18591
"Total male and female";"2021";"Enkhuizen";18637
"Total male and female";"2010";"Enschede";157052
"Total male and female";"2020";"Enschede";159640
"Total male and female";"2021";"Enschede";159732
"Total male and female";"2010";"Epe";32881
"Total male and female";"2020";"Epe";33178
"Total male and female";"2021";"Epe";33198
"Total male and female";"2010";"Ermelo";26264
"Total male and female";"2020";"Ermelo";27008
"Total male and female";"2021";"Ermelo";27016
"Total male and female";"2010";"Erp";
"Total male and female";"2020";"Erp";
"Total male and female";"2021";"Erp";
"Total male and female";"2010";"Esch";
"Total male and female";"2020";"Esch";
"Total male and female";"2021";"Esch";
"Total male and female";"2010";"Escharen";
"Total male and female";"2020";"Escharen";
"Total male and female";"2021";"Escharen";
"Total male and female";"2010";"Est en Opijnen";
"Total male and female";"2020";"Est en Opijnen";
"Total male and female";"2021";"Est en Opijnen";
"Total male and female";"2010";"Etten en Leur";
"Total male and female";"2020";"Etten en Leur";
"Total male and female";"2021";"Etten en Leur";
"Total male and female";"2010";"Etten-Leur";41524
"Total male and female";"2020";"Etten-Leur";43878
"Total male and female";"2021";"Etten-Leur";43869
"Total male and female";"2010";"Everdingen";
"Total male and female";"2020";"Everdingen";
"Total male and female";"2021";"Everdingen";
"Total male and female";"2010";"Ewijk";
"Total male and female";"2020";"Ewijk";
"Total male and female";"2021";"Ewijk";
"Total male and female";"2010";"Ezinge";
"Total male and female";"2020";"Ezinge";
"Total male and female";"2021";"Ezinge";
"Total male and female";"2010";"Ferwerderadeel";
"Total male and female";"2020";"Ferwerderadeel";
"Total male and female";"2021";"Ferwerderadeel";
"Total male and female";"2010";"Ferwerderadiel";8839
"Total male and female";"2020";"Ferwerderadiel";
"Total male and female";"2021";"Ferwerderadiel";
"Total male and female";"2010";"Fijnaart en Heijningen";
"Total male and female";"2020";"Fijnaart en Heijningen";
"Total male and female";"2021";"Fijnaart en Heijningen";
"Total male and female";"2010";"Finsterwolde";
"Total male and female";"2020";"Finsterwolde";
"Total male and female";"2021";"Finsterwolde";
"Total male and female";"2010";"Franeker";
"Total male and female";"2020";"Franeker";
"Total male and female";"2021";"Franeker";
"Total male and female";"2010";"Franekeradeel";20597
"Total male and female";"2020";"Franekeradeel";
"Total male and female";"2021";"Franekeradeel";
"Total male and female";"2010";"De Friese Meren";
"Total male and female";"2020";"De Friese Meren";
"Total male and female";"2021";"De Friese Meren";
"Total male and female";"2010";"De Fryske Marren";
"Total male and female";"2020";"De Fryske Marren";51564
"Total male and female";"2021";"De Fryske Marren";51778
"Total male and female";"2010";"Gaasterland";
"Total male and female";"2020";"Gaasterland";
"Total male and female";"2021";"Gaasterland";
"Total male and female";"2010";"Gaasterlân-Sleat";10303
"Total male and female";"2020";"Gaasterlân-Sleat";
"Total male and female";"2021";"Gaasterlân-Sleat";
"Total male and female";"2010";"Gameren";
"Total male and female";"2020";"Gameren";
"Total male and female";"2021";"Gameren";
"Total male and female";"2010";"Gassel";
"Total male and female";"2020";"Gassel";
"Total male and female";"2021";"Gassel";
"Total male and female";"2010";"Gasselte";
"Total male and female";"2020";"Gasselte";
"Total male and female";"2021";"Gasselte";
"Total male and female";"2010";"Geertruidenberg";21087
"Total male and female";"2020";"Geertruidenberg";21544
"Total male and female";"2021";"Geertruidenberg";21770
"Total male and female";"2010";"Geervliet";
"Total male and female";"2020";"Geervliet";
"Total male and female";"2021";"Geervliet";
"Total male and female";"2010";"Geffen";
"Total male and female";"2020";"Geffen";
"Total male and female";"2021";"Geffen";
"Total male and female";"2010";"Geldermalsen";26260
"Total male and female";"2020";"Geldermalsen";
"Total male and female";"2021";"Geldermalsen";
"Total male and female";"2010";"Geldrop";
"Total male and female";"2020";"Geldrop";
"Total male and female";"2021";"Geldrop";
"Total male and female";"2010";"Geldrop-Mierlo";38117
"Total male and female";"2020";"Geldrop-Mierlo";39726
"Total male and female";"2021";"Geldrop-Mierlo";40066
"Total male and female";"2010";"Geleen";
"Total male and female";"2020";"Geleen";
"Total male and female";"2021";"Geleen";
"Total male and female";"2010";"Gemert";
"Total male and female";"2020";"Gemert";
"Total male and female";"2021";"Gemert";
"Total male and female";"2010";"Gemert-Bakel";28763
"Total male and female";"2020";"Gemert-Bakel";30723
"Total male and female";"2021";"Gemert-Bakel";30760
"Total male and female";"2010";"Gendringen";
"Total male and female";"2020";"Gendringen";
"Total male and female";"2021";"Gendringen";
"Total male and female";"2010";"Gendt";
"Total male and female";"2020";"Gendt";
"Total male and female";"2021";"Gendt";
"Total male and female";"2010";"Genemuiden";
"Total male and female";"2020";"Genemuiden";
"Total male and female";"2021";"Genemuiden";
"Total male and female";"2010";"Gennep";17153
"Total male and female";"2020";"Gennep";16921
"Total male and female";"2021";"Gennep";17035
"Total male and female";"2010";"Geulle";
"Total male and female";"2020";"Geulle";
"Total male and female";"2021";"Geulle";
"Total male and female";"2010";"Giessen";
"Total male and female";"2020";"Giessen";
"Total male and female";"2021";"Giessen";
"Total male and female";"2010";"Giessenburg";
"Total male and female";"2020";"Giessenburg";
"Total male and female";"2021";"Giessenburg";
"Total male and female";"2010";"Giessendam";
"Total male and female";"2020";"Giessendam";
"Total male and female";"2021";"Giessendam";
"Total male and female";"2010";"Giessenlanden";14451
"Total male and female";"2020";"Giessenlanden";
"Total male and female";"2021";"Giessenlanden";
"Total male and female";"2010";"Giessen-Nieuwkerk";
"Total male and female";"2020";"Giessen-Nieuwkerk";
"Total male and female";"2021";"Giessen-Nieuwkerk";
"Total male and female";"2010";"Gieten";
"Total male and female";"2020";"Gieten";
"Total male and female";"2021";"Gieten";
"Total male and female";"2010";"Giethoorn";
"Total male and female";"2020";"Giethoorn";
"Total male and female";"2021";"Giethoorn";
"Total male and female";"2010";"Gilze en Rijen";25975
"Total male and female";"2020";"Gilze en Rijen";26431
"Total male and female";"2021";"Gilze en Rijen";26723
"Total male and female";"2010";"Goedereede";11420
"Total male and female";"2020";"Goedereede";
"Total male and female";"2021";"Goedereede";
"Total male and female";"2010";"Goeree-Overflakkee";
"Total male and female";"2020";"Goeree-Overflakkee";50049
"Total male and female";"2021";"Goeree-Overflakkee";50589
"Total male and female";"2010";"Goes";36605
"Total male and female";"2020";"Goes";38082
"Total male and female";"2021";"Goes";38594
"Total male and female";"2010";"Goirle";22761
"Total male and female";"2020";"Goirle";23904
"Total male and female";"2021";"Goirle";23952
"Total male and female";"2010";"Gooise Meren";
"Total male and female";"2020";"Gooise Meren";58055
"Total male and female";"2021";"Gooise Meren";58524
"Total male and female";"2010";"Goor";
"Total male and female";"2020";"Goor";
"Total male and female";"2021";"Goor";
"Total male and female";"2010";"Gorinchem";34663
"Total male and female";"2020";"Gorinchem";37022
"Total male and female";"2021";"Gorinchem";37410
"Total male and female";"2010";"Gorssel";
"Total male and female";"2020";"Gorssel";
"Total male and female";"2021";"Gorssel";
"Total male and female";"2010";"Gouda";71122
"Total male and female";"2020";"Gouda";73427
"Total male and female";"2021";"Gouda";73681
"Total male and female";"2010";"Gouderak";
"Total male and female";"2020";"Gouderak";
"Total male and female";"2021";"Gouderak";
"Total male and female";"2010";"Goudriaan";
"Total male and female";"2020";"Goudriaan";
"Total male and female";"2021";"Goudriaan";
"Total male and female";"2010";"Goudswaard";
"Total male and female";"2020";"Goudswaard";
"Total male and female";"2021";"Goudswaard";
"Total male and female";"2010";"Graafstroom";9804
"Total male and female";"2020";"Graafstroom";
"Total male and female";"2021";"Graafstroom";
"Total male and female";"2010";"Graauw en Langendam";
"Total male and female";"2020";"Graauw en Langendam";
"Total male and female";"2021";"Graauw en Langendam";
"Total male and female";"2010";"Graft";
"Total male and female";"2020";"Graft";
"Total male and female";"2021";"Graft";
"Total male and female";"2010";"Graft-De Rijp";6489
"Total male and female";"2020";"Graft-De Rijp";
"Total male and female";"2021";"Graft-De Rijp";
"Total male and female";"2010";"Gramsbergen";
"Total male and female";"2020";"Gramsbergen";
"Total male and female";"2021";"Gramsbergen";
"Total male and female";"2010";"Grathem";
"Total male and female";"2020";"Grathem";
"Total male and female";"2021";"Grathem";
"Total male and female";"2010";"Grave";12917
"Total male and female";"2020";"Grave";12436
"Total male and female";"2021";"Grave";12486
"Total male and female";"2010";"'s-Graveland";
"Total male and female";"2020";"'s-Graveland";
"Total male and female";"2021";"'s-Graveland";
"Total male and female";"2010";"'s-Gravendeel";
"Total male and female";"2020";"'s-Gravendeel";
"Total male and female";"2021";"'s-Gravendeel";
"Total male and female";"2010";"'s-Gravenhage (municipality)";488553
"Total male and female";"2020";"'s-Gravenhage (municipality)";545838
"Total male and female";"2021";"'s-Gravenhage (municipality)";548320
"Total male and female";"2010";"'s-Gravenmoer";
"Total male and female";"2020";"'s-Gravenmoer";
"Total male and female";"2021";"'s-Gravenmoer";
"Total male and female";"2010";"'s-Gravenpolder";
"Total male and female";"2020";"'s-Gravenpolder";
"Total male and female";"2021";"'s-Gravenpolder";
"Total male and female";"2010";"'s-Gravenzande";
"Total male and female";"2020";"'s-Gravenzande";
"Total male and female";"2021";"'s-Gravenzande";
"Total male and female";"2010";"Grevenbicht";
"Total male and female";"2020";"Grevenbicht";
"Total male and female";"2021";"Grevenbicht";
"Total male and female";"2010";"Grijpskerk";
"Total male and female";"2020";"Grijpskerk";
"Total male and female";"2021";"Grijpskerk";
"Total male and female";"2010";"Grijpskerke";
"Total male and female";"2020";"Grijpskerke";
"Total male and female";"2021";"Grijpskerke";
"Total male and female";"2010";"Groede";
"Total male and female";"2020";"Groede";
"Total male and female";"2021";"Groede";
"Total male and female";"2010";"Groenlo";
"Total male and female";"2020";"Groenlo";
"Total male and female";"2021";"Groenlo";
"Total male and female";"2010";"Groesbeek";18923
"Total male and female";"2020";"Groesbeek";
"Total male and female";"2021";"Groesbeek";
"Total male and female";"2010";"Groningen (municipality)";187298
"Total male and female";"2020";"Groningen (municipality)";232874
"Total male and female";"2021";"Groningen (municipality)";233273
"Total male and female";"2010";"Gronsveld";
"Total male and female";"2020";"Gronsveld";
"Total male and female";"2021";"Gronsveld";
"Total male and female";"2010";"Groot-Ammers";
"Total male and female";"2020";"Groot-Ammers";
"Total male and female";"2021";"Groot-Ammers";
"Total male and female";"2010";"Grootebroek";
"Total male and female";"2020";"Grootebroek";
"Total male and female";"2021";"Grootebroek";
"Total male and female";"2010";"Grootegast";12141
"Total male and female";"2020";"Grootegast";
"Total male and female";"2021";"Grootegast";
"Total male and female";"2010";"Grubbenvorst";
"Total male and female";"2020";"Grubbenvorst";
"Total male and female";"2021";"Grubbenvorst";
"Total male and female";"2010";"Gulpen";
"Total male and female";"2020";"Gulpen";
"Total male and female";"2021";"Gulpen";
"Total male and female";"2010";"Gulpen-Wittem";14594
"Total male and female";"2020";"Gulpen-Wittem";14171
"Total male and female";"2021";"Gulpen-Wittem";14206
"Total male and female";"2010";"Haaften";
"Total male and female";"2020";"Haaften";
"Total male and female";"2021";"Haaften";
"Total male and female";"2010";"Haaksbergen";24486
"Total male and female";"2020";"Haaksbergen";24311
"Total male and female";"2021";"Haaksbergen";24229
"Total male and female";"2010";"Haamstede";
"Total male and female";"2020";"Haamstede";
"Total male and female";"2021";"Haamstede";
"Total male and female";"2010";"Haaren";13625
"Total male and female";"2020";"Haaren";14370
"Total male and female";"2021";"Haaren";
"Total male and female";"2010";"Haarlem";149579
"Total male and female";"2020";"Haarlem";162902
"Total male and female";"2021";"Haarlem";162543
"Total male and female";"2010";"Haarlemmerliede en Spaarnwoude";5398
"Total male and female";"2020";"Haarlemmerliede en Spaarnwoude";
"Total male and female";"2021";"Haarlemmerliede en Spaarnwoude";
"Total male and female";"2010";"Haarlemmermeer";142788
"Total male and female";"2020";"Haarlemmermeer";156002
"Total male and female";"2021";"Haarlemmermeer";157789
"Total male and female";"2010";"Haarzuilens";
"Total male and female";"2020";"Haarzuilens";
"Total male and female";"2021";"Haarzuilens";
"Total male and female";"2010";"Haastrecht";
"Total male and female";"2020";"Haastrecht";
"Total male and female";"2021";"Haastrecht";
"Total male and female";"2010";"Haelen";
"Total male and female";"2020";"Haelen";
"Total male and female";"2021";"Haelen";
"Total male and female";"2010";"Hagestein";
"Total male and female";"2020";"Hagestein";
"Total male and female";"2021";"Hagestein";
"Total male and female";"2010";"Halderberge";29291
"Total male and female";"2020";"Halderberge";30284
"Total male and female";"2021";"Halderberge";30430
"Total male and female";"2010";"Halsteren";
"Total male and female";"2020";"Halsteren";
"Total male and female";"2021";"Halsteren";
"Total male and female";"2010";"Den Ham";
"Total male and female";"2020";"Den Ham";
"Total male and female";"2021";"Den Ham";
"Total male and female";"2010";"Haps";
"Total male and female";"2020";"Haps";
"Total male and female";"2021";"Haps";
"Total male and female";"2010";"Hardenberg";59014
"Total male and female";"2020";"Hardenberg";60948
"Total male and female";"2021";"Hardenberg";61357
"Total male and female";"2010";"Harderwijk";44010
"Total male and female";"2020";"Harderwijk";48414
"Total male and female";"2021";"Harderwijk";48726
"Total male and female";"2010";"Hardinxveld";
"Total male and female";"2020";"Hardinxveld";
"Total male and female";"2021";"Hardinxveld";
"Total male and female";"2010";"Hardinxveld-Giessendam";17497
"Total male and female";"2020";"Hardinxveld-Giessendam";18295
"Total male and female";"2021";"Hardinxveld-Giessendam";18413
"Total male and female";"2010";"Haren";18516
"Total male and female";"2020";"Haren";
"Total male and female";"2021";"Haren";
"Total male and female";"2010";"Harenkarspel";16086
"Total male and female";"2020";"Harenkarspel";
"Total male and female";"2021";"Harenkarspel";
"Total male and female";"2010";"Harlingen";15809
"Total male and female";"2020";"Harlingen";15722
"Total male and female";"2021";"Harlingen";15807
"Total male and female";"2010";"Harmelen";
"Total male and female";"2020";"Harmelen";
"Total male and female";"2021";"Harmelen";
"Total male and female";"2010";"Haskerland";
"Total male and female";"2020";"Haskerland";
"Total male and female";"2021";"Haskerland";
"Total male and female";"2010";"Hasselt";
"Total male and female";"2020";"Hasselt";
"Total male and female";"2021";"Hasselt";
"Total male and female";"2010";"Hattem";11792
"Total male and female";"2020";"Hattem";12209
"Total male and female";"2021";"Hattem";12228
"Total male and female";"2010";"Havelte";
"Total male and female";"2020";"Havelte";
"Total male and female";"2021";"Havelte";
"Total male and female";"2010";"Hazerswoude";
"Total male and female";"2020";"Hazerswoude";
"Total male and female";"2021";"Hazerswoude";
"Total male and female";"2010";"Hedel";
"Total male and female";"2020";"Hedel";
"Total male and female";"2021";"Hedel";
"Total male and female";"2010";"Heel";
"Total male and female";"2020";"Heel";
"Total male and female";"2021";"Heel";
"Total male and female";"2010";"Heel en Panheel";
"Total male and female";"2020";"Heel en Panheel";
"Total male and female";"2021";"Heel en Panheel";
"Total male and female";"2010";"Heemskerk";38848
"Total male and female";"2020";"Heemskerk";39182
"Total male and female";"2021";"Heemskerk";39191
"Total male and female";"2010";"Heemstede";26058
"Total male and female";"2020";"Heemstede";27234
"Total male and female";"2021";"Heemstede";27545
"Total male and female";"2010";"Heenvliet";
"Total male and female";"2020";"Heenvliet";
"Total male and female";"2021";"Heenvliet";
"Total male and female";"2010";"Heer";
"Total male and female";"2020";"Heer";
"Total male and female";"2021";"Heer";
"Total male and female";"2010";"'s-Heer-Abtskerke";
"Total male and female";"2020";"'s-Heer-Abtskerke";
"Total male and female";"2021";"'s-Heer-Abtskerke";
"Total male and female";"2010";"'s-Heer-Arendskerke";
"Total male and female";"2020";"'s-Heer-Arendskerke";
"Total male and female";"2021";"'s-Heer-Arendskerke";
"Total male and female";"2010";"Heerde";18313
"Total male and female";"2020";"Heerde";18589
"Total male and female";"2021";"Heerde";18776
"Total male and female";"2010";"'s-Heerenhoek";
"Total male and female";"2020";"'s-Heerenhoek";
"Total male and female";"2021";"'s-Heerenhoek";
"Total male and female";"2010";"Heerenveen";43418
"Total male and female";"2020";"Heerenveen";50493
"Total male and female";"2021";"Heerenveen";50650
"Total male and female";"2010";"Heerewaarden";
"Total male and female";"2020";"Heerewaarden";
"Total male and female";"2021";"Heerewaarden";
"Total male and female";"2010";"Heerhugowaard";51178
"Total male and female";"2020";"Heerhugowaard";57587
"Total male and female";"2021";"Heerhugowaard";58387
"Total male and female";"2010";"Heerjansdam";
"Total male and female";"2020";"Heerjansdam";
"Total male and female";"2021";"Heerjansdam";
"Total male and female";"2010";"Heerlen";89236
"Total male and female";"2020";"Heerlen";87086
"Total male and female";"2021";"Heerlen";86936
"Total male and female";"2010";"Heesch";
"Total male and female";"2020";"Heesch";
"Total male and female";"2021";"Heesch";
"Total male and female";"2010";"Heeswijk";
"Total male and female";"2020";"Heeswijk";
"Total male and female";"2021";"Heeswijk";
"Total male and female";"2010";"Heeswijk-Dinther";
"Total male and female";"2020";"Heeswijk-Dinther";
"Total male and female";"2021";"Heeswijk-Dinther";
"Total male and female";"2010";"Heeze";
"Total male and female";"2020";"Heeze";
"Total male and female";"2021";"Heeze";
"Total male and female";"2010";"Heeze-Leende";15260
"Total male and female";"2020";"Heeze-Leende";16152
"Total male and female";"2021";"Heeze-Leende";16243
"Total male and female";"2010";"Hefshuizen";
"Total male and female";"2020";"Hefshuizen";
"Total male and female";"2021";"Hefshuizen";
"Total male and female";"2010";"Hei- en Boeicop";
"Total male and female";"2020";"Hei- en Boeicop";
"Total male and female";"2021";"Hei- en Boeicop";
"Total male and female";"2010";"Heiloo";22451
"Total male and female";"2020";"Heiloo";23968
"Total male and female";"2021";"Heiloo";24144
"Total male and female";"2010";"Heinenoord";
"Total male and female";"2020";"Heinenoord";
"Total male and female";"2021";"Heinenoord";
"Total male and female";"2010";"Heinkenszand";
"Total male and female";"2020";"Heinkenszand";
"Total male and female";"2021";"Heinkenszand";
"Total male and female";"2010";"Heino";
"Total male and female";"2020";"Heino";
"Total male and female";"2021";"Heino";
"Total male and female";"2010";"Hekelingen";
"Total male and female";"2020";"Hekelingen";
"Total male and female";"2021";"Hekelingen";
"Total male and female";"2010";"Hekendorp";
"Total male and female";"2020";"Hekendorp";
"Total male and female";"2021";"Hekendorp";
"Total male and female";"2010";"Helden";
"Total male and female";"2020";"Helden";
"Total male and female";"2021";"Helden";
"Total male and female";"2010";"Den Helder";57403
"Total male and female";"2020";"Den Helder";56296
"Total male and female";"2021";"Den Helder";56582
"Total male and female";"2010";"Hellendoorn";35791
"Total male and female";"2020";"Hellendoorn";35916
"Total male and female";"2021";"Hellendoorn";35932
"Total male and female";"2010";"Hellevoetsluis";39756
"Total male and female";"2020";"Hellevoetsluis";40142
"Total male and female";"2021";"Hellevoetsluis";40312
"Total male and female";"2010";"Helmond";88291
"Total male and female";"2020";"Helmond";92423
"Total male and female";"2021";"Helmond";92627
"Total male and female";"2010";"Helvoirt";
"Total male and female";"2020";"Helvoirt";
"Total male and female";"2021";"Helvoirt";
"Total male and female";"2010";"Hemelumer Oldeferd";
"Total male and female";"2020";"Hemelumer Oldeferd";
"Total male and female";"2021";"Hemelumer Oldeferd";
"Total male and female";"2010";"Hemelumer Oldephaerd en Noordwolde";
"Total male and female";"2020";"Hemelumer Oldephaerd en Noordwolde";
"Total male and female";"2021";"Hemelumer Oldephaerd en Noordwolde";
"Total male and female";"2010";"Hemmen";
"Total male and female";"2020";"Hemmen";
"Total male and female";"2021";"Hemmen";
"Total male and female";"2010";"Hendrik-Ido-Ambacht";26897
"Total male and female";"2020";"Hendrik-Ido-Ambacht";31202
"Total male and female";"2021";"Hendrik-Ido-Ambacht";31258
"Total male and female";"2010";"Hengelo (Gld.)";
"Total male and female";"2020";"Hengelo (Gld.)";
"Total male and female";"2021";"Hengelo (Gld.)";
"Total male and female";"2010";"Hengelo (O.)";80772
"Total male and female";"2020";"Hengelo (O.)";81140
"Total male and female";"2021";"Hengelo (O.)";81049
"Total male and female";"2010";"Hennaarderadeel";
"Total male and female";"2020";"Hennaarderadeel";
"Total male and female";"2021";"Hennaarderadeel";
"Total male and female";"2010";"Hensbroek";
"Total male and female";"2020";"Hensbroek";
"Total male and female";"2021";"Hensbroek";
"Total male and female";"2010";"Herkingen";
"Total male and female";"2020";"Herkingen";
"Total male and female";"2021";"Herkingen";
"Total male and female";"2010";"Herten";
"Total male and female";"2020";"Herten";
"Total male and female";"2021";"Herten";
"Total male and female";"2010";"'s-Hertogenbosch";139607
"Total male and female";"2020";"'s-Hertogenbosch";155111
"Total male and female";"2021";"'s-Hertogenbosch";155490
"Total male and female";"2010";"Herwen en Aerdt";
"Total male and female";"2020";"Herwen en Aerdt";
"Total male and female";"2021";"Herwen en Aerdt";
"Total male and female";"2010";"Herwijnen";
"Total male and female";"2020";"Herwijnen";
"Total male and female";"2021";"Herwijnen";
"Total male and female";"2010";"Heteren";
"Total male and female";"2020";"Heteren";
"Total male and female";"2021";"Heteren";
"Total male and female";"2010";"Heukelum";
"Total male and female";"2020";"Heukelum";
"Total male and female";"2021";"Heukelum";
"Total male and female";"2010";"Heumen";16632
"Total male and female";"2020";"Heumen";16454
"Total male and female";"2021";"Heumen";16569
"Total male and female";"2010";"Heusden";42995
