"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2020";"Arcen en Velden";
"Total male and female";"2021";"Arcen en Velden";
"Total male and female";"2010";"Arkel";
"Total male and female";"2020";"Arkel";
"Total male and female";"2021";"Arkel";
"Total male and female";"2010";"Arnemuiden";
"Total male and female";"2020";"Arnemuiden";
"Total male and female";"2021";"Arnemuiden";
"Total male and female";"2010";"Arnhem";147018
"Total male and female";"2020";"Arnhem";161348
"Total male and female";"2021";"Arnhem";162424
"Total male and female";"2010";"Asperen";
"Total male and female";"2020";"Asperen";
"Total male and female";"2021";"Asperen";
"Total male and female";"2010";"Assen";66857
"Total male and female";"2020";"Assen";68599
"Total male and female";"2021";"Assen";68836
"Total male and female";"2010";"Assendelft";
"Total male and female";"2020";"Assendelft";
"Total male and female";"2021";"Assendelft";
"Total male and female";"2010";"Asten";16335
"Total male and female";"2020";"Asten";16721
"Total male and female";"2021";"Asten";16817
"Total male and female";"2010";"Avenhorn";
"Total male and female";"2020";"Avenhorn";
"Total male and female";"2021";"Avenhorn";
"Total male and female";"2010";"Avereest";
"Total male and female";"2020";"Avereest";
"Total male and female";"2021";"Avereest";
"Total male and female";"2010";"Axel";
"Total male and female";"2020";"Axel";
"Total male and female";"2021";"Axel";
"Total male and female";"2010";"Baarderadeel";
"Total male and female";"2020";"Baarderadeel";
"Total male and female";"2021";"Baarderadeel";
"Total male and female";"2010";"Baarland";
"Total male and female";"2020";"Baarland";
"Total male and female";"2021";"Baarland";
"Total male and female";"2010";"Baarle-Nassau";6703
"Total male and female";"2020";"Baarle-Nassau";6859
"Total male and female";"2021";"Baarle-Nassau";6899
"Total male and female";"2010";"Baarn";24317
"Total male and female";"2020";"Baarn";24868
"Total male and female";"2021";"Baarn";24792
"Total male and female";"2010";"Baexem";
"Total male and female";"2020";"Baexem";
"Total male and female";"2021";"Baexem";
"Total male and female";"2010";"Baflo";
"Total male and female";"2020";"Baflo";
"Total male and female";"2021";"Baflo";
"Total male and female";"2010";"Bakel en Milheeze";
"Total male and female";"2020";"Bakel en Milheeze";
"Total male and female";"2021";"Bakel en Milheeze";
"Total male and female";"2010";"Bangert";
"Total male and female";"2020";"Bangert";
"Total male and female";"2021";"Bangert";
"Total male and female";"2010";"Barendrecht";46449
"Total male and female";"2020";"Barendrecht";48714
"Total male and female";"2021";"Barendrecht";48643
"Total male and female";"2010";"Barneveld";52490
"Total male and female";"2020";"Barneveld";59082
"Total male and female";"2021";"Barneveld";59992
"Total male and female";"2010";"Barradeel";
"Total male and female";"2020";"Barradeel";
"Total male and female";"2021";"Barradeel";
"Total male and female";"2010";"Barsingerhorn";
"Total male and female";"2020";"Barsingerhorn";
"Total male and female";"2021";"Barsingerhorn";
"Total male and female";"2010";"Barwoutswaarder";
"Total male and female";"2020";"Barwoutswaarder";
"Total male and female";"2021";"Barwoutswaarder";
"Total male and female";"2010";"Batenburg";
"Total male and female";"2020";"Batenburg";
"Total male and female";"2021";"Batenburg";
"Total male and female";"2010";"Bathmen";
"Total male and female";"2020";"Bathmen";
"Total male and female";"2021";"Bathmen";
"Total male and female";"2010";"Bedum";10447
"Total male and female";"2020";"Bedum";
"Total male and female";"2021";"Bedum";
"Total male and female";"2010";"Beegden";
