id;weight;micro;micro_num;ripeness;ripeness_num;cleaning;cleaning_num;temp;temp_cat;fresh;fresh_num;fat;fat_cat;price100g;price_cat;finalscore;top10;outsidetop10;A_d;k30;yr2017;our_unique_id
277;62;Very good;1;Groen;1;Very good;1;5.6;1;Freshly prepared;1;12.7;2;3.54;3;15.0;0;1;1;0;1;17_056
278;58;Good;1;Average;2;Very good;1;1.5;1;Freshly prepared;1;14.6;3;3.62;3;17.0;1;0;1;1;0;16_006
279;62;Very good;1;Average;2;Very good;1;5.3;1;Freshly prepared;1;13.9;2;3.62;3;16.5;0;1;1;0;0;16_023_17_020
280;72;Very good;1;Mild;1;Good;2;2.0;1;Freshly prepared;1;12.5;2;2.22;1;16.3;0;1;1;0;1;17_014_16_002
281;71;Very good;1;Average;2;Very good;1;1.9;1;Freshly prepared;1;13.4;2;3.16;2;16.7;1;0;1;0;0;16_009_17_001
282;75;Very good;1;Average;2;Very good;1;2.7;1;Freshly prepared;1;13.7;2;2.8;1;17.4;1;0;1;1;1;17_002
283;76;Very good;1;Average;2;Very good;1;2.5;1;Freshly prepared;1;12.3;2;2.43;1;17.3;1;0;1;0;1;17_003_16_001
284;71;Very good;1;Average;2;Very good;1;3.1;1;Freshly prepared;1;12.6;2;3.16;2;16.3;0;1;1;0;1;17_020_16_023
285;54;Good;1;Average;2;Very good;1;4.3;1;Freshly prepared;1;18.8;3;3.7;3;16.5;0;1;1;0;0;16_020_17_025
286;66;Very good;1;Average;2;Very good;1;2.0;1;Freshly prepared;1;13.5;2;2.65;1;17.3;1;0;1;0;0;16_002_17_014
287;76;Good;1;Mild;1;Very good;1;4.7;1;Not freshly prepared;0;11.4;2;2.1;1;15.5;0;1;1;0;1;17_035
288;66;Very good;1;Average;2;Very good;1;4.2;1;Freshly prepared;1;14.6;3;2.95;2;17.3;1;0;1;0;0;16_003_17_008
289;65;Very good;1;Average;2;Very good;1;2.9;1;Not freshly prepared;0;12.9;2;3.89;3;15.0;0;1;1;0;1;17_053
290;73;Very good;1;Average;2;Very good;1;1.5;1;Freshly prepared;1;1.3;1;3.42;2;17.0;1;0;1;0;0;16_005_17_006
291;74;Very good;1;Average;2;Very good;1;2.9;1;Freshly prepared;1;11.6;2;2.7;1;16.8;1;0;1;0;1;17_008_16_003
292;72;Very good;1;Average;2;Very good;1;1.9;1;Freshly prepared;1;13.4;2;3.47;2;17.0;1;0;1;0;1;17_006_16_005
